session,ts_ms,gross_bps
20260818-190823,1787080127679,-0.618120989457174
20260818-190823,1787080127781,-0.618120989457174
20260818-190823,1787080127883,-0.618120989457174
20260818-190823,1787080127985,-0.618120989457174
20260818-190823,1787080127875,-0.618120989457174
20260818-190823,1787080128087,-0.618120989457174
20260818-190823,1787080128189,-0.618120989457174
20260818-190823,1787080128291,-0.618120989457174
20260818-190823,1787080128393,-3.2451351946501625
20260818-190823,1787080128495,-3.2451351946501625
20260818-190823,1787080128597,-3.2451351946501625
20260818-190823,1787080128501,-3.2451351946501625
20260818-190823,1787080128699,-3.2451351946501625
20260818-190823,1787080128801,-3.2451351946501625
20260818-190823,1787080128903,-3.2451351946501625
20260818-190823,1787080129005,-3.2451351946501625
20260818-190823,1787080129107,-3.2451351946501625
20260818-190823,1787080129209,-3.2451351946501625
20260818-190823,1787080129079,-3.2451351946501625
20260818-190823,1787080129311,-3.2451351946501625
20260818-190823,1787080129413,-3.2451351946501625
20260818-190823,1787080129515,-3.4305714914868655
20260818-190823,1787080129617,-3.4305714914868655
20260818-190823,1787080129719,-3.4305714914868655
20260818-190823,1787080129729,-3.4305714914868655
20260818-190823,1787080129732,-3.4305714914868655
20260818-190823,1787080129821,-3.4305714914868655
20260818-190823,1787080129732,-3.4305714914868655
20260818-190823,1787080129923,-3.4305714914868655
20260818-190823,1787080130025,-3.4305714914868655
20260818-190823,1787080130127,-3.739631986215452
20260818-190823,1787080130229,-3.739631986215452
20260818-190823,1787080130331,-3.739631986215452
20260818-190823,1787080130433,-3.739631986215452
20260818-190823,1787080130535,-3.739631986215452
20260818-190823,1787080130426,-3.739631986215452
20260818-190823,1787080130637,-3.739631986215452
20260818-190823,1787080130739,-3.739631986215452
20260818-190823,1787080130841,-3.739631986215452
20260818-190823,1787080130943,-3.739631986215452
20260818-190823,1787080130839,-3.739631986215452
20260818-190823,1787080131045,-3.739631986215452
20260818-190823,1787080131147,-3.739631986215452
20260818-190823,1787080131249,-3.739631986215452
20260818-190823,1787080131351,-3.739631986215452
20260818-190823,1787080131453,-3.739631986215452
20260818-190823,1787080131319,-3.739631986215452
20260818-190823,1787080131555,-3.739631986215452
20260818-190823,1787080131657,-3.739631986215452
20260818-190823,1787080131759,-3.739631986215452
20260818-190823,1787080131861,-3.739631986215452
20260818-190823,1787080131963,-3.739631986215452
20260818-190823,1787080131909,-3.739631986215452
20260818-190823,1787080132065,-3.739631986215452
20260818-190823,1787080132167,-3.739631986215452
20260818-190823,1787080132269,-3.739631986215452
20260818-190823,1787080132371,-3.739631986215452
