session,ts_ms,action,score,gross_bps,exec_ret_bps,net_taker_bps,net_maker_bps,mid0,mid_target,spread_bps,qi_l1,max_favorable_bps,max_adverse_bps,time_to_peak_ms,time_to_adverse_ms
20260818-190823,1787080130426,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.711948,0.0,0.0,0,0
20260818-190823,1787080130637,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.71285,0.0,0.0,0,0
20260818-190823,1787080130739,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.712895,0.0,0.0,0,0
20260818-190823,1787080130841,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.71449,0.0,0.0,0,0
20260818-190823,1787080130943,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.951742,0.0,0.0,0,0
20260818-190823,1787080130839,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.951742,0.0,0.0,0,0
20260818-190823,1787080131045,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.951742,0.0,0.0,0,0
20260818-190823,1787080131147,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.954991,0.0,0.0,0,0
20260818-190823,1787080131249,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.928764,0.0,0.0,0,0
20260818-190823,1787080131351,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.960332,0.0,0.0,0,0
20260818-190823,1787080131453,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.931903,0.0,0.0,0,0
20260818-190823,1787080131319,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.931903,0.0,0.0,0,0
20260818-190823,1787080131555,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.67209,0.0,0.0,0,0
20260818-190823,1787080131657,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.84207,0.0,0.0,0,0
20260818-190823,1787080131759,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.670039,0.0,0.0,0,0
20260818-190823,1787080131861,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.673908,0.0,0.0,0,0
20260818-190823,1787080131963,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.850658,0.0,0.0,0,0
20260818-190823,1787080131909,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.850658,0.0,0.0,0,0
20260818-190823,1787080132065,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.847688,0.0,0.0,0,0
20260818-190823,1787080132167,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.845958,0.0,0.0,0,0
20260818-190823,1787080132269,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.848868,0.0,0.0,0,0
20260818-190823,1787080132371,SELL,0.5,-0.0,-0.01562653068302401,-4.0158,-2.0,64712.25,64712.25,0.015453,-0.799817,0.0,0.0,0,0
