session,ts_ms,action,gross_bps,net_bps,mid,spread_bps,pred_raw,calibrated,exec_ready
20260818-190746,1787080078617,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5636660077661719,-0.5717989357779674,False
20260818-190746,1787080078719,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5858587621197071,-0.5717989357779674,False
20260818-190746,1787080078571,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5745907078142749,-0.5717989357779674,False
20260818-190746,1787080078821,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5766440075833648,-0.5717989357779674,False
20260818-190746,1787080078923,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5764484715198106,-0.5717989357779674,False
20260818-190746,1787080079025,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5696279025370083,-0.5717989357779674,False
20260818-190746,1787080079127,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5783961725984215,-0.5717989357779674,False
20260818-190746,1787080079229,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5703732270488486,-0.5717989357779674,False
20260818-190746,1787080079331,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5759358625652917,-0.5717989357779674,False
20260818-190746,1787080079433,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.573408761975132,-0.5717989357779674,False
20260818-190746,1787080079319,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5784710081388154,-0.5717989357779674,False
20260818-190746,1787080079535,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5756037979546282,-0.5717989357779674,False
20260818-190746,1787080079637,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5805376162639628,-0.5717989357779674,False
20260818-190746,1787080079739,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5786840349260174,-0.5717989357779674,False
20260818-190746,1787080079841,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.57861577334797,-0.5717989357779674,False
20260818-190746,1787080079772,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5843815890355515,-0.5717989357779674,False
20260818-190746,1787080079943,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6056750685697048,-0.5717989357779674,False
20260818-190746,1787080080045,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.5990867247207627,-0.5717989357779674,False
20260818-190746,1787080079921,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.611759137332667,-0.5717989357779674,False
20260818-190746,1787080080147,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.609201334207083,-0.5717989357779674,False
20260818-190746,1787080080043,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6173628660280401,-0.5717989357779674,False
20260818-190746,1787080080249,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6171014569043545,-0.5717989357779674,False
20260818-190746,1787080080351,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6148904134570918,-0.5717989357779674,False
20260818-190746,1787080080453,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6157286206259764,-0.5717989357779674,False
20260818-190746,1787080080408,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6227833020028928,-0.5717989357779674,False
20260818-190746,1787080080555,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6277438169828169,-0.5717989357779674,False
20260818-190746,1787080080657,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6259043600102332,-0.5717989357779674,False
20260818-190746,1787080080527,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.635397802892264,-0.5717989357779674,False
20260818-190746,1787080080759,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.636569416836815,-0.5717989357779674,False
20260818-190746,1787080080861,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6347815121832723,-0.5717989357779674,False
20260818-190746,1787080080963,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6348474713155188,-0.5717989357779674,False
20260818-190746,1787080081065,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6327809216419147,-0.5717989357779674,False
20260818-190746,1787080081167,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6306265619511469,-0.5717989357779674,False
20260818-190746,1787080081269,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6334642858924016,-0.5717989357779674,False
20260818-190746,1787080081371,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6369898753781589,-0.5717989357779674,False
20260818-190746,1787080081473,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6333442164216057,-0.5717989357779674,False
20260818-190746,1787080081575,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6302539735713972,-0.5717989357779674,False
20260818-190746,1787080081509,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6436041249238558,-0.5717989357779674,False
20260818-190746,1787080081677,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6362859541451444,-0.5717989357779674,False
20260818-190746,1787080081779,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6375427357761829,-0.5717989357779674,False
20260818-190746,1787080081656,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6432223313776055,-0.5717989357779674,False
20260818-190746,1787080081881,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6415598802059508,-0.5717989357779674,False
20260818-190746,1787080081792,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6494990458707413,-0.5717989357779674,False
20260818-190746,1787080081983,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6538970820366834,-0.5717989357779674,False
20260818-190746,1787080082085,SELL,-0.0,-4.6658,64715.350000000006,0.015452,-0.6519379918464034,-0.5717989357779674,False
