session,ts_ms,action,gross_bps
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172038,SELL,0.618120989457174
20260818-190823,1787080172047,SELL,0.618120989457174
20260818-190823,1787080172049,SELL,0.06181553779814279
20260818-190823,1787080172051,SELL,0.06181553779814279
20260818-190823,1787080172057,SELL,0.06181553779814279
20260818-190823,1787080172057,SELL,0.06181553779814279
20260818-190823,1787080172151,SELL,0.01545395609775566
20260818-190823,1787080172253,SELL,0.01545395609775566
20260818-190823,1787080172193,SELL,0.01545395609775566
20260818-190823,1787080172355,SELL,0.01545395609775566
20260818-190823,1787080172457,SELL,0.01545395609775566
20260818-190823,1787080172559,SELL,0.01545395609775566
20260818-190823,1787080172661,SELL,0.01545395609775566
20260818-190823,1787080172763,SELL,0.01545395609775566
20260818-190823,1787080172713,SELL,0.01545395609775566
20260818-190823,1787080172865,SELL,0.01545395609775566
20260818-190823,1787080172877,SELL,0.01545395609775566
20260818-190823,1787080172967,SELL,-0.0
20260818-190823,1787080172943,SELL,-0.0
20260818-190823,1787080173069,SELL,-0.0
20260818-190823,1787080172972,SELL,-0.0
20260818-190823,1787080173171,SELL,-0.0
20260818-190823,1787080173273,SELL,-0.0
20260818-190823,1787080173375,SELL,-0.0
20260818-190823,1787080173227,SELL,-0.0
20260818-190823,1787080173477,SELL,-0.0
20260818-190823,1787080173579,SELL,-0.0
20260818-190823,1787080173681,SELL,-0.0
20260818-190823,1787080173783,SELL,-0.0
20260818-190823,1787080173885,SELL,-0.0
20260818-190823,1787080173987,SELL,-0.0
20260818-190823,1787080174089,SELL,-0.0
20260818-190823,1787080174191,SELL,-0.0
20260818-190823,1787080174293,SELL,-0.0
20260818-190823,1787080174395,SELL,-0.0
20260818-190823,1787080174497,SELL,-0.0
20260818-190823,1787080174599,SELL,-0.0
20260818-190823,1787080174701,SELL,-0.0
20260818-190823,1787080174553,SELL,-0.0
20260818-190823,1787080174803,SELL,-0.0
20260818-190823,1787080174905,SELL,-0.0
20260818-190823,1787080175007,SELL,-0.0
20260818-190823,1787080175109,SELL,-0.0
20260818-190823,1787080175211,SELL,-0.0
20260818-190823,1787080175313,SELL,-0.0
20260818-190823,1787080175415,SELL,-0.0
20260818-190823,1787080175517,SELL,-0.0
20260818-190823,1787080175619,SELL,-0.0
20260818-190823,1787080175721,SELL,-0.0
20260818-190823,1787080175823,SELL,-0.0
20260818-190823,1787080175925,SELL,-0.0
20260818-190823,1787080176027,SELL,-0.0
20260818-190823,1787080176129,SELL,-0.0
20260818-190823,1787080176231,SELL,-0.0
20260818-190823,1787080176333,SELL,-0.0
20260818-190823,1787080176435,SELL,-0.0
20260818-190823,1787080176370,SELL,-0.0
20260818-190823,1787080176537,SELL,-0.0
20260818-190823,1787080176639,SELL,-0.0
20260818-190823,1787080176741,SELL,-0.0
20260818-190823,1787080176843,SELL,-0.0
20260818-190823,1787080176945,SELL,-0.0
