session,ts_ms,action,gross_bps,net_bps,cost_bps,fill_prob,filled,qi_l1,spread_bps
20260818-214558,1787089703243,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703243,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703243,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703249,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703256,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703258,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703258,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703258,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703262,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703270,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703278,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703278,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703279,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703279,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703279,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703282,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703284,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703288,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703288,BUY,1.1150110688073467,-0.8849889311926533,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703291,BUY,1.1150110688073467,0.0,2.0,0.4217420205677,True,0.990515,0.015486
20260818-214558,1787089703294,BUY,0.0,0.0,2.0,0.45578209543945003,True,-0.801449,0.015485
20260818-214558,1787089703294,BUY,0.0,-2.0,2.0,0.45578209543945003,True,-0.801449,0.015485
20260818-214558,1787089703294,BUY,0.0,0.0,2.0,0.45578209543945003,True,-0.801449,0.015485
20260818-214859,1787089742409,SELL,-0.0,-2.0,2.0,0.42254672744426997,True,-0.986017,0.015487
20260818-214859,1787089742611,SELL,-0.0,0.0,2.0,0.42191848315617,True,-0.989507,0.015487
20260818-214859,1787089742713,SELL,-0.0,-2.0,2.0,0.4218846407704499,True,-0.989695,0.015487
20260818-214859,1787089742815,SELL,-0.0,0.0,2.0,0.4226113519999799,True,-0.985658,0.015487
20260818-214859,1787089742917,SELL,-0.0,0.0,2.0,0.42272187979163994,True,-0.985044,0.015487
20260818-214859,1787089743869,SELL,0.4181518154388838,0.0,2.0,0.42215321970392994,True,-0.988203,0.015487
20260818-214859,1787089743869,SELL,0.4181518154388838,0.0,2.0,0.42215321970392994,True,-0.988203,0.015487
20260818-214859,1787089743937,SELL,-0.0,-2.0,2.0,0.43690351016895995,True,-0.906234,0.015488
20260818-214859,1787089743881,SELL,-0.0,-2.0,2.0,0.43690351016895995,True,-0.906234,0.015488
20260818-214859,1787089744039,SELL,-0.0,-2.0,2.0,0.44215837843648004,True,-0.877042,0.015488
20260818-214859,1787089744141,SELL,-0.0,0.0,2.0,0.44455845923296,True,-0.863709,0.015488
20260818-214859,1787089744243,SELL,-0.0,0.0,2.0,0.4442144590528,True,-0.86562,0.015488
20260818-214859,1787089744345,SELL,-0.0,-2.0,2.0,0.44423318015103996,True,-0.865516,0.015488
20260818-214859,1787089744447,SELL,-0.0,-2.0,2.0,0.44407981115392003,True,-0.866368,0.015488
20260818-214859,1787089744549,SELL,-0.0,0.0,2.0,0.44033631154815994,True,-0.887164,0.015488
20260818-214859,1787089744651,SELL,-0.0,0.0,2.0,0.43943715880096,True,-0.892159,0.015488
20260818-214859,1787089744753,SELL,-0.0,-2.0,2.0,0.44301324858591995,True,-0.872293,0.015488
20260818-214859,1787089744855,SELL,-0.0,0.0,2.0,0.44301324858591995,True,-0.872293,0.015488
20260818-214859,1787089744957,SELL,-0.0,-2.0,2.0,0.44316283736128,True,-0.871462,0.015488
20260818-214859,1787089745059,SELL,-0.0,-2.0,2.0,0.44353563923103995,True,-0.869391,0.015488
20260818-214859,1787089745161,SELL,-0.0,-2.0,2.0,0.44829637851136,True,-0.842944,0.015488
20260818-214859,1787089745263,SELL,-0.0,-2.0,2.0,0.44821033346368,True,-0.843422,0.015488
20260818-214859,1787089745365,SELL,-0.0,0.0,2.0,0.44821033346368,True,-0.843422,0.015488
20260818-214859,1787089745467,SELL,-0.0,0.0,2.0,0.44807280539583993,True,-0.844186,0.015488
20260818-214859,1787089745569,SELL,-0.0,-2.0,2.0,0.44807280539583993,True,-0.844186,0.015488
20260818-214859,1787089745671,SELL,-0.0,0.0,2.0,0.44812896869055996,True,-0.843874,0.015488
20260818-214859,1787089745773,SELL,-0.0,0.0,2.0,0.4485037506764801,True,-0.841792,0.015488
20260818-214859,1787089745875,SELL,-0.0,-2.0,2.0,0.44867530074016,True,-0.840839,0.015488
20260818-214859,1787089745977,SELL,-0.0,0.0,2.0,0.4516055126358399,True,-0.824561,0.015488
20260818-214859,1787089746079,SELL,-0.0,-2.0,2.0,0.45169911812704,True,-0.824041,0.015488
20260818-214859,1787089746181,SELL,-0.0,-2.0,2.0,0.45178066291071994,True,-0.823588,0.015488
20260818-214859,1787089746283,SELL,-0.0,-2.0,2.0,0.45173422018623993,True,-0.823846,0.015488
20260818-214859,1787089746385,SELL,-0.0,0.0,2.0,0.43655896995712,True,-0.908148,0.015488
20260818-214859,1787089746487,SELL,-0.0,-2.0,2.0,0.44075393604735996,True,-0.884844,0.015488
20260818-214859,1787089746384,SELL,-0.0,0.0,2.0,0.44075393604735996,True,-0.884844,0.015488
20260818-214859,1787089746589,SELL,-0.0,0.0,2.0,0.4472168551830399,True,-0.848941,0.015488
20260818-214859,1787089746691,SELL,-0.0,0.0,2.0,0.44738750519391995,True,-0.847993,0.015488
20260818-214859,1787089746793,SELL,-0.0,0.0,2.0,0.42362881143231995,True,-0.979978,0.015488
20260818-214859,1787089746895,SELL,-0.0,0.0,2.0,0.45458666752000004,True,-0.808,0.015488
20260818-214859,1787089746997,SELL,-0.0,0.0,2.0,0.45775593343936,True,-0.790394,0.015488
20260818-214859,1787089747099,SELL,-0.0,-2.0,2.0,0.4573714308832,True,-0.79253,0.015488
20260818-214859,1787089747201,SELL,-0.0,0.0,2.0,0.4573714308832,True,-0.79253,0.015488
20260818-214859,1787089747094,SELL,-0.0,0.0,2.0,0.4573714308832,True,-0.79253,0.015488
20260818-214859,1787089747303,SELL,-0.0,0.0,2.0,0.45741805361823995,True,-0.792271,0.015488
20260818-214859,1787089747405,SELL,-0.0,-2.0,2.0,0.45810047365119994,True,-0.78848,0.015488
20260818-214859,1787089747507,SELL,-0.0,-2.0,2.0,0.43622433032608,True,-0.910007,0.015488
20260818-214859,1787089747609,SELL,-0.0,0.0,2.0,0.43622433032608,True,-0.910007,0.015488
20260818-214859,1787089747711,SELL,-0.0,0.0,2.0,0.43603675932256,True,-0.911049,0.015488
20260818-214859,1787089747813,SELL,-0.0,-2.0,2.0,0.42842771295135995,True,-0.953319,0.015488
20260818-214859,1787089747915,SELL,-0.0,-2.0,2.0,0.45691834430367995,True,-0.795047,0.015488
20260818-214859,1787089748017,SELL,-0.0,-2.0,2.0,0.45458522743551993,True,-0.808008,0.015488
20260818-214859,1787089748119,SELL,-0.0,0.0,2.0,0.45388948662111994,True,-0.811873,0.015488
20260818-214859,1787089748221,SELL,-0.0,-2.0,2.0,0.45622656372160003,True,-0.79889,0.015488
20260818-214859,1787089748074,SELL,-0.0,0.0,2.0,0.45622656372160003,True,-0.79889,0.015488
20260818-214859,1787089748323,SELL,-0.0,0.0,2.0,0.45626760612928,True,-0.798662,0.015488
20260818-214859,1787089748425,SELL,-0.0,-2.0,2.0,0.453227587792,True,-0.81555,0.015488
20260818-214859,1787089748527,SELL,-0.0,-2.0,2.0,0.45249116459104,True,-0.819641,0.015488
20260818-214859,1787089748629,SELL,-0.0,-2.0,2.0,0.45249116459104,True,-0.819641,0.015488
20260818-214859,1787089748731,SELL,-0.0,0.0,2.0,0.45249116459104,True,-0.819641,0.015488
20260818-214859,1787089748833,SELL,-0.0,0.0,2.0,0.45250070515071994,True,-0.819588,0.015488
20260818-214859,1787089748774,SELL,-0.0,0.0,2.0,0.45250070515071994,True,-0.819588,0.015488
20260818-214859,1787089748935,SELL,-0.0,0.0,2.0,0.42228143239071997,True,-0.987463,0.015488
20260818-214859,1787089749037,SELL,-0.0,0.0,2.0,0.42132467626431996,True,-0.992778,0.015488
20260818-214859,1787089749139,SELL,-0.0,0.0,2.0,0.4206222750591999,True,-0.99668,0.015488
20260818-214859,1787089749241,SELL,-0.0,0.0,2.0,0.42062767537599993,True,-0.99665,0.015488
20260818-214859,1787089749343,SELL,-0.0,-2.0,2.0,0.42701246992863995,True,-0.961181,0.015488
20260818-214859,1787089749445,SELL,-0.0,0.0,2.0,0.4270459518927999,True,-0.960995,0.015488
20260818-214859,1787089749296,SELL,-0.0,0.0,2.0,0.4270459518927999,True,-0.960995,0.015488
20260818-214859,1787089749547,SELL,-0.0,0.0,2.0,0.4270459518927999,True,-0.960995,0.015488
20260818-214859,1787089749649,SELL,-0.0,0.0,2.0,0.4206505367171199,True,-0.996523,0.015488
20260818-214859,1787089749751,SELL,-0.0,-2.0,2.0,0.42071768065599996,True,-0.99615,0.015488
20260818-214859,1787089749680,SELL,-0.0,-2.0,2.0,0.42071768065599996,True,-0.99615,0.015488
20260818-214859,1787089749853,SELL,-0.0,0.0,2.0,0.42071408044479996,True,-0.99617,0.015488
20260818-214859,1787089749955,SELL,-0.0,-2.0,2.0,0.42695576660223994,True,-0.961496,0.015488
20260818-214859,1787089750057,SELL,-0.0,-2.0,2.0,0.4206780783328,True,-0.99637,0.015488
20260818-214859,1787089750159,SELL,-0.0,-2.0,2.0,0.42071138028640004,True,-0.996185,0.015488
20260818-214859,1787089750261,SELL,-0.0,-2.0,2.0,0.42076898366559995,True,-0.995865,0.015488
20260818-214859,1787089750164,SELL,-0.0,0.0,2.0,0.42076898366559995,True,-0.995865,0.015488
20260818-214859,1787089750363,SELL,-0.0,-2.0,2.0,0.42080606584096,True,-0.995659,0.015488
20260818-214859,1787089750465,SELL,-0.0,-2.0,2.0,0.42080606584096,True,-0.995659,0.015488
20260818-214859,1787089750567,SELL,-0.0,-2.0,2.0,0.42078752475327996,True,-0.995762,0.015488
20260818-214859,1787089750669,SELL,-0.0,0.0,2.0,0.42078752475327996,True,-0.995762,0.015488
20260818-214859,1787089750771,SELL,-0.0,0.0,2.0,0.42080624585152,True,-0.995658,0.015488
